JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
40,77.0,,0.77,30.8
100,77.0,,0.77,77.0
79,64.0,False,0.64,50.56
34,64.0,,0.64,21.76
21,64.0,,0.64,13.44
23,64.0,,0.64,14.72
25,64.0,,0.64,16.0
33,64.0,,0.64,21.12
15,64.0,,0.64,9.6
12,41.0,False,0.41,4.92
25,41.0,,0.41,10.25
26,41.0,,0.41,10.66
19,41.0,,0.41,7.789999999999999
21,41.0,,0.41,8.61
20,41.0,,0.41,8.2
14,41.0,,0.41,5.739999999999999
9,37.0,False,0.37,3.33
22,37.0,,0.37,8.14
22,37.0,,0.37,8.14
